invoice_id,customer_id,invoice_date,amount,payment_status,days_overdue,billing_issue,refund_requested
INV-0000001,CUST-100001,2026-03-01,28.51,Paid,0,0,0
INV-0000002,CUST-100001,2026-04-01,29.66,Paid,0,0,0
INV-0000003,CUST-100001,2026-05-01,29.35,Paid,0,0,0
INV-0000004,CUST-100001,2026-06-01,30.72,Paid,0,0,0
INV-0000005,CUST-100001,2026-07-01,29.89,Paid,0,0,0
INV-0000006,CUST-100001,2026-08-01,29.3,Paid,0,0,0
INV-0000007,CUST-100002,2026-03-01,154.46,Paid,0,0,0
INV-0000008,CUST-100002,2026-04-01,150.22,Paid,0,0,0
INV-0000009,CUST-100002,2026-05-01,149.85,Paid,0,0,0
INV-0000010,CUST-100002,2026-06-01,154.04,Paid,0,1,1
INV-0000011,CUST-100002,2026-07-01,145.53,Paid,0,0,0
INV-0000012,CUST-100002,2026-08-01,154.53,Paid,0,0,0
INV-0000013,CUST-100003,2026-03-01,157.32,Paid,0,0,0
INV-0000014,CUST-100003,2026-04-01,155.78,Paid,0,0,0
INV-0000015,CUST-100003,2026-05-01,155.42,Paid,0,0,0
INV-0000016,CUST-100003,2026-06-01,154.79,Late,4,0,0
INV-0000017,CUST-100003,2026-07-01,154.75,Paid,0,0,0
INV-0000018,CUST-100003,2026-08-01,154.12,Paid,0,0,0
INV-0000019,CUST-100004,2026-03-01,410.96,Paid,0,0,0
INV-0000020,CUST-100004,2026-04-01,403.93,Paid,0,0,0
INV-0000021,CUST-100004,2026-05-01,399.43,Paid,0,1,1
INV-0000022,CUST-100004,2026-06-01,383.72,Paid,0,0,0
INV-0000023,CUST-100004,2026-07-01,394.43,Paid,0,0,0
INV-0000024,CUST-100004,2026-08-01,415.88,Paid,0,0,0
INV-0000025,CUST-100005,2026-03-01,33.63,Paid,0,0,0
INV-0000026,CUST-100005,2026-04-01,32.34,Paid,0,0,0
INV-0000027,CUST-100005,2026-05-01,33.73,Paid,0,0,0
INV-0000028,CUST-100005,2026-06-01,34.46,Late,2,0,0
INV-0000029,CUST-100005,2026-07-01,32.63,Paid,0,0,0
INV-0000030,CUST-100005,2026-08-01,33.57,Paid,0,0,0
INV-0000031,CUST-100006,2026-03-01,102.43,Paid,0,0,0
INV-0000032,CUST-100006,2026-04-01,95.43,Paid,0,0,0
INV-0000033,CUST-100006,2026-05-01,93.78,Paid,0,0,0
INV-0000034,CUST-100006,2026-06-01,101.03,Paid,0,1,1
INV-0000035,CUST-100006,2026-07-01,100.09,Paid,0,0,0
INV-0000036,CUST-100006,2026-08-01,96.6,Paid,0,0,0
INV-0000037,CUST-100007,2026-03-01,89.66,Paid,0,1,1
INV-0000038,CUST-100007,2026-04-01,83.9,Paid,0,0,0
INV-0000039,CUST-100007,2026-05-01,109.63,Paid,0,0,0
INV-0000040,CUST-100007,2026-06-01,82.89,Paid,0,1,1
