customer_id,month,usage_hours,sessions,feature_adoption_pct,api_calls
CUST-100001,2026-03,80.6,6,28.2,665
CUST-100001,2026-04,79.5,13,71.6,922
CUST-100001,2026-05,90.0,16,77.2,773
CUST-100001,2026-06,75.4,11,63.8,821
CUST-100001,2026-07,86.3,12,47.4,851
CUST-100001,2026-08,77.2,10,37.7,673
CUST-100002,2026-03,362.8,52,44.7,3468
CUST-100002,2026-04,383.5,59,43.5,2915
CUST-100002,2026-05,374.0,51,26.0,3164
CUST-100002,2026-06,348.0,47,66.6,2776
CUST-100002,2026-07,268.8,33,40.7,2895
CUST-100002,2026-08,314.4,41,27.4,2234
CUST-100003,2026-03,383.4,56,66.6,3213
CUST-100003,2026-04,390.9,55,44.3,2127
CUST-100003,2026-05,392.5,55,72.4,4086
CUST-100003,2026-06,416.3,58,46.8,4747
CUST-100003,2026-07,386.5,55,30.7,4195
CUST-100003,2026-08,374.4,65,84.4,2635
CUST-100004,2026-03,882.1,130,50.4,7289
CUST-100004,2026-04,878.9,123,58.0,8321
CUST-100004,2026-05,811.8,114,42.1,5026
CUST-100004,2026-06,927.6,130,43.1,7904
CUST-100004,2026-07,887.2,117,48.2,6166
CUST-100004,2026-08,840.6,121,66.7,8164
CUST-100005,2026-03,83.1,11,48.7,650
CUST-100005,2026-04,70.6,23,49.9,846
CUST-100005,2026-05,80.5,10,39.2,753
CUST-100005,2026-06,66.8,13,63.8,704
CUST-100005,2026-07,92.9,16,61.0,902
CUST-100005,2026-08,80.3,10,46.0,723
CUST-100006,2026-03,145.9,24,56.5,1568
CUST-100006,2026-04,156.4,26,65.3,1197
CUST-100006,2026-05,170.3,17,60.7,1635
CUST-100006,2026-06,161.7,19,52.7,1279
CUST-100006,2026-07,179.7,29,63.9,1304
CUST-100006,2026-08,199.3,21,61.7,1900
CUST-100007,2026-03,183.1,23,63.9,1746
CUST-100007,2026-04,155.4,26,47.3,1468
CUST-100007,2026-05,140.6,22,22.2,961
CUST-100007,2026-06,109.9,21,44.7,1254
CUST-100007,2026-07,108.7,14,46.0,1219
CUST-100007,2026-08,78.9,6,42.1,786
CUST-100008,2026-03,76.9,9,53.2,617
CUST-100008,2026-04,82.6,16,68.7,788
CUST-100008,2026-05,79.2,1,46.5,896
CUST-100008,2026-06,83.6,17,59.2,970
CUST-100008,2026-07,80.2,6,75.1,787
CUST-100008,2026-08,68.9,17,61.7,435
CUST-100009,2026-03,164.2,25,55.2,1857
CUST-100009,2026-04,197.3,28,45.7,2382
CUST-100009,2026-05,189.3,29,62.2,1860
CUST-100009,2026-06,181.1,27,74.3,1730
CUST-100009,2026-07,178.0,29,60.4,1763
CUST-100009,2026-08,189.3,29,38.4,1931
CUST-100010,2026-03,84.4,8,30.5,791
CUST-100010,2026-04,76.8,9,69.8,524
CUST-100010,2026-05,66.9,10,44.1,768
CUST-100010,2026-06,67.6,7,55.5,915
CUST-100010,2026-07,82.7,14,53.0,781
CUST-100010,2026-08,77.4,12,37.9,836
CUST-100011,2026-03,78.8,7,62.4,703
CUST-100011,2026-04,86.4,17,58.7,707
CUST-100011,2026-05,94.0,22,51.2,985
CUST-100011,2026-06,90.3,16,66.0,890
CUST-100011,2026-07,74.1,8,46.1,658
CUST-100011,2026-08,92.1,18,63.7,983
CUST-100012,2026-03,389.0,56,43.6,3555
CUST-100012,2026-04,423.0,65,48.1,4278
CUST-100012,2026-05,404.7,56,56.3,4389
CUST-100012,2026-06,437.0,59,65.4,3291
CUST-100012,2026-07,374.1,48,65.6,2081
CUST-100012,2026-08,382.5,53,28.6,3228
CUST-100013,2026-03,174.1,21,52.4,2169
CUST-100013,2026-04,174.7,25,54.6,1768
CUST-100013,2026-05,171.1,27,56.0,1525
CUST-100013,2026-06,166.0,22,68.7,1785
CUST-100013,2026-07,215.3,30,60.7,1700
CUST-100013,2026-08,176.8,31,70.4,1721
CUST-100014,2026-03,70.1,9,50.5,581
CUST-100014,2026-04,82.8,11,47.2,822
CUST-100014,2026-05,84.0,14,61.0,721
CUST-100014,2026-06,75.4,11,70.4,766
CUST-100014,2026-07,82.3,13,50.6,870
CUST-100014,2026-08,74.4,7,62.0,665
CUST-100015,2026-03,392.1,54,65.0,3645
CUST-100015,2026-04,330.5,46,38.8,3167
CUST-100015,2026-05,412.7,52,61.2,3138
CUST-100015,2026-06,459.5,57,59.1,5192
CUST-100015,2026-07,436.5,63,59.9,3375
CUST-100015,2026-08,391.4,55,40.7,3032
CUST-100016,2026-03,92.5,15,62.2,981
CUST-100016,2026-04,80.3,10,55.9,602
CUST-100016,2026-05,74.7,4,45.2,608
CUST-100016,2026-06,81.3,6,67.2,694
CUST-100016,2026-07,90.6,13,78.1,825
CUST-100016,2026-08,80.8,6,48.6,813
CUST-100017,2026-03,963.9,135,70.5,5883
CUST-100017,2026-04,918.9,141,64.8,8708
CUST-100017,2026-05,701.5,90,37.1,6869
CUST-100017,2026-06,627.9,90,53.2,5957
CUST-100017,2026-07,565.6,86,37.7,6319
CUST-100017,2026-08,553.0,79,55.3,4711
CUST-100018,2026-03,91.8,5,73.8,622
CUST-100018,2026-04,100.0,12,62.2,807
CUST-100018,2026-05,84.0,10,59.5,764
CUST-100018,2026-06,80.5,11,53.1,536
CUST-100018,2026-07,87.4,15,79.6,670
CUST-100018,2026-08,80.9,12,57.5,686
CUST-100019,2026-03,152.2,20,49.1,1504
CUST-100019,2026-04,156.9,17,69.4,1271
CUST-100019,2026-05,159.2,23,46.2,1549
CUST-100019,2026-06,156.2,28,42.8,1582
CUST-100019,2026-07,192.9,31,48.2,2489
CUST-100019,2026-08,136.5,15,49.8,1338
CUST-100020,2026-03,84.3,13,71.1,613
CUST-100020,2026-04,77.3,10,53.8,421
CUST-100020,2026-05,82.3,7,67.0,506
CUST-100020,2026-06,95.3,7,46.4,597
CUST-100020,2026-07,88.3,13,54.0,540
CUST-100020,2026-08,88.2,9,61.4,668
CUST-100021,2026-03,367.0,51,62.8,3719
CUST-100021,2026-04,399.4,59,46.3,4185
CUST-100021,2026-05,347.8,52,44.0,3001
CUST-100021,2026-06,388.0,53,50.2,2549
CUST-100021,2026-07,372.5,54,46.4,3449
CUST-100021,2026-08,387.8,54,50.9,2223
CUST-100022,2026-03,71.5,10,63.9,498
CUST-100022,2026-04,72.6,3,67.7,691
CUST-100022,2026-05,73.9,8,74.7,745
CUST-100022,2026-06,64.9,13,49.8,501
CUST-100022,2026-07,71.2,12,51.7,701
CUST-100022,2026-08,71.7,9,56.1,709
CUST-100023,2026-03,193.9,28,55.6,1853
CUST-100023,2026-04,182.3,26,67.3,2303
CUST-100023,2026-05,127.3,14,64.9,1081
CUST-100023,2026-06,121.6,17,55.1,1120
CUST-100023,2026-07,116.9,14,49.3,814
CUST-100023,2026-08,104.0,12,51.8,1202
CUST-100024,2026-03,81.2,12,77.0,702
CUST-100024,2026-04,83.6,4,35.6,484
CUST-100024,2026-05,69.6,12,42.2,635
CUST-100024,2026-06,70.2,18,44.2,771
CUST-100024,2026-07,72.6,17,44.1,733
CUST-100024,2026-08,55.7,5,55.6,505
CUST-100025,2026-03,165.3,17,59.8,1739
CUST-100025,2026-04,167.6,23,54.7,1783
CUST-100025,2026-05,157.0,24,30.4,1159
CUST-100025,2026-06,178.0,30,59.4,1572
