customer_id,customer_name,region,plan,tenure_months,monthly_charge,signup_date
CUST-100001,Customer 0001,Middle East,Starter,58,29.36,2023-02-18
CUST-100002,Customer 0002,India,Business,33,153.22,2022-08-22
CUST-100003,Customer 0003,North America,Business,49,153.46,2021-12-25
CUST-100004,Customer 0004,Europe,Enterprise,45,402.41,2025-10-05
CUST-100005,Customer 0005,Middle East,Starter,8,33.8,2021-08-27
CUST-100006,Customer 0006,Middle East,Professional,24,98.7,2021-04-29
CUST-100007,Customer 0007,Europe,Professional,3,81.94,2020-10-01
CUST-100008,Customer 0008,India,Starter,68,31.64,2022-02-23
CUST-100009,Customer 0009,APAC,Professional,63,87.22,2024-01-14
CUST-100010,Customer 0010,Europe,Starter,34,31.51,2022-11-20
CUST-100011,Customer 0011,Middle East,Starter,17,35.12,2025-12-04
CUST-100012,Customer 0012,Middle East,Business,13,168.42,2022-06-23
CUST-100013,Customer 0013,Europe,Professional,36,76.17,2024-12-09
CUST-100014,Customer 0014,Europe,Starter,22,29.12,2022-07-23
CUST-100015,Customer 0015,APAC,Business,48,164.68,2023-09-16
CUST-100016,Customer 0016,North America,Starter,67,36.28,2024-05-13
CUST-100017,Customer 0017,North America,Enterprise,26,388.83,2022-04-24
CUST-100018,Customer 0018,North America,Starter,66,31.28,2023-04-19
CUST-100019,Customer 0019,Europe,Professional,27,86.91,2021-12-25
CUST-100020,Customer 0020,India,Starter,35,34.09,2022-04-24
CUST-100021,Customer 0021,APAC,Business,11,188.12,2021-10-26
CUST-100022,Customer 0022,Europe,Starter,70,34.69,2021-02-28
CUST-100023,Customer 0023,India,Professional,69,75.88,2023-11-15
CUST-100024,Customer 0024,North America,Starter,51,37.94,2023-08-17
CUST-100025,Customer 0025,India,Professional,17,81.7,2025-01-08
CUST-100026,Customer 0026,APAC,Starter,4,37.79,2022-02-23
CUST-100027,Customer 0027,India,Professional,41,81.66,2023-05-19
CUST-100028,Customer 0028,APAC,Professional,40,76.06,2023-07-18
CUST-100029,Customer 0029,APAC,Starter,63,37.93,2024-07-12
CUST-100030,Customer 0030,Europe,Starter,62,42.53,2022-07-23
CUST-100031,Customer 0031,APAC,Starter,58,36.69,2023-06-18
CUST-100032,Customer 0032,North America,Professional,11,80.29,2026-05-03
CUST-100033,Customer 0033,Middle East,Business,35,155.53,2021-11-25
CUST-100034,Customer 0034,APAC,Professional,69,79.14,2024-01-14
CUST-100035,Customer 0035,India,Business,51,147.78,2022-11-20
CUST-100036,Customer 0036,Middle East,Business,20,138.32,2022-08-22
CUST-100037,Customer 0037,Middle East,Business,25,180.58,2024-08-11
CUST-100038,Customer 0038,North America,Starter,44,35.0,2022-06-23
CUST-100039,Customer 0039,North America,Business,11,146.25,2023-10-16
CUST-100040,Customer 0040,Europe,Starter,50,39.87,2021-08-27
CUST-100041,Customer 0041,Middle East,Starter,70,32.82,2025-12-04
CUST-100042,Customer 0042,APAC,Starter,17,39.18,2024-08-11
CUST-100043,Customer 0043,Middle East,Business,45,124.92,2025-08-06
CUST-100044,Customer 0044,India,Business,41,140.9,2024-06-12
CUST-100045,Customer 0045,Europe,Business,13,162.76,2023-07-18
CUST-100046,Customer 0046,India,Business,41,133.72,2024-08-11
CUST-100047,Customer 0047,India,Starter,62,40.03,2023-11-15
CUST-100048,Customer 0048,India,Professional,60,78.89,2022-09-21
CUST-100049,Customer 0049,APAC,Professional,69,88.63,2022-04-24
CUST-100050,Customer 0050,APAC,Professional,15,86.08,2022-08-22
CUST-100051,Customer 0051,North America,Professional,66,72.35,2021-07-28
CUST-100052,Customer 0052,India,Professional,63,78.03,2025-06-07
CUST-100053,Customer 0053,Middle East,Starter,44,35.83,2024-04-13
CUST-100054,Customer 0054,Middle East,Enterprise,12,381.38,2022-01-24
CUST-100055,Customer 0055,North America,Starter,26,29.35,2022-06-23
CUST-100056,Customer 0056,India,Professional,3,71.73,2022-03-25
CUST-100057,Customer 0057,Middle East,Professional,30,75.56,2025-07-07
CUST-100058,Customer 0058,India,Starter,13,32.78,2020-10-31
CUST-100059,Customer 0059,APAC,Enterprise,17,407.32,2024-10-10
CUST-100060,Customer 0060,Middle East,Business,41,154.52,2025-12-04
CUST-100061,Customer 0061,India,Starter,16,36.02,2025-06-07
CUST-100062,Customer 0062,India,Starter,33,32.62,2020-10-01
CUST-100063,Customer 0063,India,Starter,37,31.42,2025-02-07
CUST-100064,Customer 0064,North America,Enterprise,63,428.62,2021-03-30
CUST-100065,Customer 0065,APAC,Professional,52,80.05,2026-02-02
CUST-100066,Customer 0066,Europe,Business,7,120.83,2023-09-16
CUST-100067,Customer 0067,Europe,Starter,40,33.57,2020-10-01
CUST-100068,Customer 0068,Europe,Professional,39,76.29,2021-01-29
CUST-100069,Customer 0069,India,Professional,50,89.74,2020-12-30
CUST-100070,Customer 0070,India,Business,5,155.87,2025-04-08
CUST-100071,Customer 0071,Middle East,Professional,54,86.78,2021-03-30
CUST-100072,Customer 0072,India,Professional,51,88.34,2024-11-09
CUST-100073,Customer 0073,North America,Starter,56,33.43,2023-06-18
CUST-100074,Customer 0074,North America,Starter,66,41.43,2022-10-21
CUST-100075,Customer 0075,India,Starter,4,35.34,2022-10-21
CUST-100076,Customer 0076,Europe,Professional,60,93.66,2024-06-12
CUST-100077,Customer 0077,APAC,Professional,69,69.48,2023-12-15
CUST-100078,Customer 0078,Middle East,Starter,57,42.7,2021-07-28
CUST-100079,Customer 0079,India,Enterprise,47,316.65,2025-06-07
CUST-100080,Customer 0080,Middle East,Business,39,148.75,2022-12-20
CUST-100081,Customer 0081,Middle East,Professional,37,81.38,2023-01-19
CUST-100082,Customer 0082,Middle East,Business,8,141.13,2021-10-26
CUST-100083,Customer 0083,North America,Enterprise,17,402.67,2020-12-30
CUST-100084,Customer 0084,North America,Business,25,146.03,2021-02-28
CUST-100085,Customer 0085,APAC,Business,23,206.03,2022-04-24
CUST-100086,Customer 0086,APAC,Professional,11,91.37,2025-09-05
CUST-100087,Customer 0087,India,Professional,41,85.49,2021-01-29
CUST-100088,Customer 0088,North America,Business,50,175.39,2020-10-31
CUST-100089,Customer 0089,Middle East,Professional,53,87.24,2023-01-19
CUST-100090,Customer 0090,APAC,Professional,35,80.82,2022-08-22
CUST-100091,Customer 0091,North America,Starter,29,29.1,2023-02-18
CUST-100092,Customer 0092,Middle East,Business,6,168.46,2021-04-29
CUST-100093,Customer 0093,Europe,Starter,55,32.82,2025-07-07
CUST-100094,Customer 0094,North America,Professional,37,73.4,2022-08-22
CUST-100095,Customer 0095,APAC,Business,10,160.24,2026-05-03
CUST-100096,Customer 0096,North America,Business,12,153.55,2023-09-16
CUST-100097,Customer 0097,APAC,Professional,22,77.56,2022-08-22
CUST-100098,Customer 0098,North America,Starter,9,29.97,2023-01-19
CUST-100099,Customer 0099,North America,Professional,25,84.84,2024-10-10
CUST-100100,Customer 0100,Europe,Starter,15,35.19,2023-02-18
CUST-100101,Customer 0101,North America,Starter,20,37.93,2025-01-08
CUST-100102,Customer 0102,Europe,Professional,63,87.88,2025-04-08
CUST-100103,Customer 0103,Europe,Professional,51,70.26,2022-03-25
CUST-100104,Customer 0104,APAC,Professional,53,80.41,2024-09-10
CUST-100105,Customer 0105,India,Professional,47,65.16,2025-05-08
CUST-100106,Customer 0106,APAC,Professional,42,72.57,2020-11-30
CUST-100107,Customer 0107,APAC,Starter,18,31.69,2021-01-29
CUST-100108,Customer 0108,India,Professional,58,85.53,2021-05-29
CUST-100109,Customer 0109,Middle East,Starter,12,33.04,2026-01-03
CUST-100110,Customer 0110,India,Starter,61,24.81,2020-12-30
CUST-100111,Customer 0111,India,Starter,67,34.89,2020-11-30
CUST-100112,Customer 0112,North America,Professional,28,77.71,2022-05-24
CUST-100113,Customer 0113,North America,Professional,6,73.4,2023-03-20
CUST-100114,Customer 0114,Middle East,Professional,54,75.73,2021-07-28
CUST-100115,Customer 0115,Middle East,Starter,67,36.62,2023-09-16
CUST-100116,Customer 0116,Europe,Professional,38,95.17,2024-03-14
CUST-100117,Customer 0117,Europe,Professional,40,82.7,2025-12-04
CUST-100118,Customer 0118,India,Starter,36,41.31,2021-11-25
CUST-100119,Customer 0119,India,Professional,38,62.05,2023-08-17
CUST-100120,Customer 0120,Europe,Professional,51,90.09,2023-05-19
CUST-100121,Customer 0121,India,Starter,26,33.63,2025-10-05
CUST-100122,Customer 0122,North America,Starter,57,35.03,2021-09-26
CUST-100123,Customer 0123,APAC,Starter,12,38.52,2023-05-19
CUST-100124,Customer 0124,Europe,Starter,36,37.72,2023-09-16
CUST-100125,Customer 0125,North America,Business,38,166.27,2023-08-17
CUST-100126,Customer 0126,India,Professional,18,80.73,2020-10-31
CUST-100127,Customer 0127,India,Professional,50,84.56,2021-03-30
CUST-100128,Customer 0128,Europe,Professional,44,77.15,2021-11-25
CUST-100129,Customer 0129,Europe,Business,37,152.01,2024-12-09
CUST-100130,Customer 0130,Europe,Starter,3,34.82,2023-07-18
CUST-100131,Customer 0131,North America,Starter,17,38.65,2021-04-29
CUST-100132,Customer 0132,APAC,Starter,9,37.82,2020-09-01
CUST-100133,Customer 0133,India,Business,14,129.78,2026-04-03
CUST-100134,Customer 0134,North America,Business,24,174.65,2023-07-18
CUST-100135,Customer 0135,APAC,Professional,45,83.87,2024-04-13
CUST-100136,Customer 0136,Europe,Business,7,161.8,2024-08-11
CUST-100137,Customer 0137,India,Business,8,153.22,2025-05-08
CUST-100138,Customer 0138,Middle East,Professional,6,82.18,2022-03-25
CUST-100139,Customer 0139,Middle East,Business,25,188.09,2023-10-16
CUST-100140,Customer 0140,Middle East,Professional,50,67.46,2023-03-20
CUST-100141,Customer 0141,Middle East,Professional,39,60.92,2026-05-03
CUST-100142,Customer 0142,Europe,Starter,66,36.99,2023-01-19
CUST-100143,Customer 0143,North America,Professional,8,88.04,2023-12-15
CUST-100144,Customer 0144,India,Professional,59,76.76,2024-01-14
CUST-100145,Customer 0145,Middle East,Starter,16,31.06,2025-09-05
CUST-100146,Customer 0146,North America,Professional,69,69.89,2025-07-07
CUST-100147,Customer 0147,APAC,Professional,67,80.88,2022-12-20
CUST-100148,Customer 0148,North America,Professional,35,92.21,2021-06-28
CUST-100149,Customer 0149,North America,Business,7,175.86,2025-03-09
CUST-100150,Customer 0150,India,Starter,43,34.01,2021-01-29
CUST-100151,Customer 0151,India,Enterprise,51,497.35,2023-09-16
CUST-100152,Customer 0152,North America,Business,36,169.64,2021-04-29
CUST-100153,Customer 0153,Middle East,Enterprise,45,465.79,2024-04-13
CUST-100154,Customer 0154,North America,Professional,41,75.19,2022-01-24
CUST-100155,Customer 0155,Europe,Professional,52,87.2,2025-11-04
CUST-100156,Customer 0156,Europe,Professional,44,78.9,2023-12-15
CUST-100157,Customer 0157,Europe,Enterprise,4,347.22,2026-02-02
CUST-100158,Customer 0158,Europe,Business,63,174.67,2025-07-07
CUST-100159,Customer 0159,Europe,Starter,18,39.09,2023-03-20
CUST-100160,Customer 0160,Europe,Starter,13,31.85,2020-10-01
CUST-100161,Customer 0161,Middle East,Starter,35,35.92,2022-09-21
CUST-100162,Customer 0162,Europe,Business,65,163.05,2022-01-24
CUST-100163,Customer 0163,Middle East,Starter,53,35.52,2022-10-21
CUST-100164,Customer 0164,Europe,Professional,29,88.34,2024-11-09
CUST-100165,Customer 0165,APAC,Professional,61,91.04,2022-11-20
CUST-100166,Customer 0166,Europe,Starter,4,37.41,2024-06-12
CUST-100167,Customer 0167,APAC,Enterprise,32,440.92,2022-03-25
CUST-100168,Customer 0168,APAC,Starter,61,32.14,2025-06-07
CUST-100169,Customer 0169,Europe,Professional,28,75.49,2022-06-23
CUST-100170,Customer 0170,Middle East,Professional,20,76.78,2025-01-08
CUST-100171,Customer 0171,APAC,Business,14,170.84,2023-02-18
CUST-100172,Customer 0172,Middle East,Starter,3,26.17,2021-05-29
CUST-100173,Customer 0173,India,Starter,36,36.01,2023-05-19
CUST-100174,Customer 0174,India,Professional,71,84.41,2021-03-30
